Location,longitude,latitude
847,-121.71,46.80846667
848,-121.71073329999999,46.80783333
849,-121.71006670000001,46.8088
850,-121.71078329999999,46.80803333
854,-121.71035,46.80841667
858,-121.71003329999999,46.80855
861,-121.71041670000001,46.80853333
862,-121.71071670000002,46.8079
866,-121.71006670000001,46.8086
868,-121.7104,46.80865
869,-121.71076670000001,46.80791667
873,-121.71003329999999,46.80868333
876,-121.71041670000001,46.80873333
877,-121.71073329999999,46.80801667
884,-121.71043329999999,46.80885
888,-121.71068329999999,46.79733333
889,-121.71075,46.79733333
890,-121.71071670000002,46.79733333
891,-121.71078329999999,46.79736667
892,-121.7108,46.7973
893,-121.71063329999998,46.79745
894,-121.71058329999998,46.79743333
895,-121.71075,46.79745
896,-121.71068329999999,46.79745
897,-121.71083329999999,46.79745
898,-121.71065,46.79751667
899,-121.71061670000002,46.7975
900,-121.71088329999999,46.79751667
901,-121.7105,46.79756667
902,-121.7109333,46.79748333
903,-121.71035,46.7975
904,-121.71113329999999,46.79758333
905,-121.71058329999998,46.7976
906,-121.71095,46.79763333
907,-121.72011670000002,46.78128333
908,-121.72021670000001,46.78133333
909,-121.71991670000001,46.78126667
910,-121.72041670000002,46.78123333
911,-121.72038329999998,46.78141667
912,-121.72041670000002,46.78138333
913,-121.7202,46.78143333
914,-121.71995,46.78153333
915,-121.71986670000001,46.78183333
916,-121.72005,46.7818
917,-121.71996670000001,46.78185
918,-121.72006670000002,46.78206667
919,-121.71978329999999,46.78213333
920,-121.7203,46.782
921,-121.72013329999999,46.78201667
922,-121.72011670000002,46.78221667
923,-121.72021670000001,46.7822
924,-121.71988329999999,46.78228333
925,-121.72048329999998,46.78221667
926,-121.72058329999999,46.78243333
927,-121.7201382,46.78243827
928,-121.7199784,46.78256371
929,-121.8391,46.91838333
931,-121.83908329999998,46.91823333
933,-121.8392,46.91838333
935,-121.83918329999999,46.9182
937,-121.83933329999999,46.91838333
939,-121.83931670000001,46.91818333
941,-121.83943329999998,46.91836667
943,-121.83943329999998,46.91813333
944,-121.83981670000001,46.9185
945,-121.83973329999999,46.91818333
947,-121.83431670000002,46.9209
949,-121.83455,46.9205
951,-121.83455,46.92098333
953,-121.83465,46.92053333
954,-121.83493329999999,46.92108333
956,-121.83483329999999,46.92053333
958,-121.8352,46.92095
960,-121.8352,46.9206
962,-121.83551670000001,46.92108333
964,-121.83556670000002,46.92075
966,-121.82513329999999,46.92098333
968,-121.82538329999998,46.92086667
970,-121.82521670000001,46.92100000000001
972,-121.82545,46.9209
974,-121.82525,46.9211
976,-121.82553329999999,46.92093333
978,-121.82535,46.92118333
980,-121.82565,46.92101667
982,-121.82556670000001,46.92118333
984,-121.82576670000002,46.92105
986,-121.81865,46.91195
988,-121.8183833,46.91181667
990,-121.8187,46.9118
992,-121.81876670000001,46.91171667
993,-121.8184,46.91161667
995,-121.81885,46.91156667
997,-121.81836670000001,46.91155
999,-121.81888329999998,46.9115
1001,-121.81851670000002,46.91155
