STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
DAN,D,30,TEMP AV,20000214 0000,20000214 0000,22, ,DEG F
DAN,D,30,TEMP AV,20000215 0000,20000215 0000,22, ,DEG F
DAN,D,30,TEMP AV,20000216 0000,20000216 0000,19, ,DEG F
DAN,D,30,TEMP AV,20000217 0000,20000217 0000,13, ,DEG F
DAN,D,30,TEMP AV,20000218 0000,20000218 0000,16, ,DEG F
DAN,D,30,TEMP AV,20000219 0000,20000219 0000,27, ,DEG F
DAN,D,30,TEMP AV,20000220 0000,20000220 0000,27, ,DEG F
DAN,D,30,TEMP AV,20000221 0000,20000221 0000,19, ,DEG F
DAN,D,30,TEMP AV,20000222 0000,20000222 0000,19, ,DEG F
DAN,D,30,TEMP AV,20000223 0000,20000223 0000,14, ,DEG F
DAN,D,30,TEMP AV,20000224 0000,20000224 0000,12, ,DEG F
DAN,D,30,TEMP AV,20000225 0000,20000225 0000,22, ,DEG F
DAN,D,30,TEMP AV,20000226 0000,20000226 0000,28, ,DEG F
DAN,D,30,TEMP AV,20000227 0000,20000227 0000,21, ,DEG F
DAN,D,30,TEMP AV,20000228 0000,20000228 0000,21, ,DEG F
DAN,D,30,TEMP AV,20000229 0000,20000229 0000,17, ,DEG F
DAN,D,30,TEMP AV,20000301 0000,20000301 0000,16, ,DEG F
DAN,D,30,TEMP AV,20000302 0000,20000302 0000,25, ,DEG F
DAN,D,30,TEMP AV,20000303 0000,20000303 0000,---, ,DEG F
DAN,D,30,TEMP AV,20000304 0000,20000304 0000,27, ,DEG F
DAN,D,30,TEMP AV,20000305 0000,20000305 0000,19, ,DEG F
DAN,D,30,TEMP AV,20000306 0000,20000306 0000,15, ,DEG F
DAN,D,30,TEMP AV,20000307 0000,20000307 0000,18, ,DEG F
DAN,D,30,TEMP AV,20000308 0000,20000308 0000,---, ,DEG F
DAN,D,30,TEMP AV,20000309 0000,20000309 0000,16, ,DEG F
DAN,D,30,TEMP AV,20000310 0000,20000310 0000,26, ,DEG F
DAN,D,30,TEMP AV,20000311 0000,20000311 0000,30, ,DEG F
DAN,D,30,TEMP AV,20000312 0000,20000312 0000,30, ,DEG F
DAN,D,30,TEMP AV,20000313 0000,20000313 0000,31, ,DEG F
DAN,D,30,TEMP AV,20000314 0000,20000314 0000,32, ,DEG F
DAN,D,30,TEMP AV,20000315 0000,20000315 0000,30, ,DEG F
DAN,D,30,TEMP AV,20000316 0000,20000316 0000,31, ,DEG F
DAN,D,30,TEMP AV,20000317 0000,20000317 0000,30, ,DEG F
DAN,D,30,TEMP AV,20000318 0000,20000318 0000,34, ,DEG F
DAN,D,30,TEMP AV,20000319 0000,20000319 0000,30, ,DEG F
DAN,D,30,TEMP AV,20000320 0000,20000320 0000,14, ,DEG F
DAN,D,30,TEMP AV,20000321 0000,20000321 0000,---, ,DEG F
DAN,D,30,TEMP AV,20000322 0000,20000322 0000,32, ,DEG F
DAN,D,30,TEMP AV,20000323 0000,20000323 0000,30, ,DEG F
DAN,D,30,TEMP AV,20000324 0000,20000324 0000,28, ,DEG F
DAN,D,30,TEMP AV,20000325 0000,20000325 0000,31, ,DEG F
DAN,D,30,TEMP AV,20000326 0000,20000326 0000,35, ,DEG F
DAN,D,30,TEMP AV,20000327 0000,20000327 0000,30, ,DEG F
DAN,D,30,TEMP AV,20000328 0000,20000328 0000,27, ,DEG F
DAN,D,30,TEMP AV,20000329 0000,20000329 0000,28, ,DEG F
DAN,D,30,TEMP AV,20000330 0000,20000330 0000,25, ,DEG F
DAN,D,30,TEMP AV,20000331 0000,20000331 0000,26, ,DEG F
DAN,D,30,TEMP AV,20000401 0000,20000401 0000,34, ,DEG F
DAN,D,30,TEMP AV,20000402 0000,20000402 0000,39, ,DEG F
DAN,D,30,TEMP AV,20000403 0000,20000403 0000,40, ,DEG F
DAN,D,30,TEMP AV,20000404 0000,20000404 0000,---, ,DEG F
DAN,D,30,TEMP AV,20000405 0000,20000405 0000,34, ,DEG F
DAN,D,30,TEMP AV,20000406 0000,20000406 0000,35, ,DEG F
DAN,D,30,TEMP AV,20000407 0000,20000407 0000,37, ,DEG F
DAN,D,30,TEMP AV,20000408 0000,20000408 0000,---, ,DEG F
DAN,D,30,TEMP AV,20000409 0000,20000409 0000,---, ,DEG F
DAN,D,30,TEMP AV,20000410 0000,20000410 0000,---, ,DEG F
DAN,D,30,TEMP AV,20000411 0000,20000411 0000,36, ,DEG F
DAN,D,30,TEMP AV,20000412 0000,20000412 0000,37, ,DEG F
DAN,D,30,TEMP AV,20000413 0000,20000413 0000,28, ,DEG F
DAN,D,30,TEMP AV,20000414 0000,20000414 0000,25, ,DEG F
DAN,D,30,TEMP AV,20000415 0000,20000415 0000,25, ,DEG F
DAN,D,30,TEMP AV,20000416 0000,20000416 0000,29, ,DEG F
DAN,D,30,TEMP AV,20000417 0000,20000417 0000,26, ,DEG F
DAN,D,30,TEMP AV,20000418 0000,20000418 0000,19, ,DEG F
DAN,D,30,TEMP AV,20000419 0000,20000419 0000,31, ,DEG F
DAN,D,30,TEMP AV,20000420 0000,20000420 0000,35, ,DEG F
DAN,D,30,TEMP AV,20000421 0000,20000421 0000,33, ,DEG F
DAN,D,30,TEMP AV,20000422 0000,20000422 0000,30, ,DEG F
